url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
https://open.spotify.com/track/2FACOe6jex5DYs8K8xTVDa,0.673,0.545,6,-10.793,0,0.0897,0.193,0.891,0.112,0.0392,180.019,174333,4,0
https://open.spotify.com/track/7zxRMhXxJMQCeDDg0rKAVo,0.744,0.715,0,-6.103,1,0.351,0.101,0.0,0.0919,0.34,154.962,179773,4,0
https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,0.586,0.525,0,-8.968,1,0.498,0.0705,0.0,0.0729,0.491,126.51,222467,4,0
https://open.spotify.com/track/7hm4HTk9encxT0LYC0J6oI,0.538,0.52,9,-7.46,1,0.0299,0.00425,0.0,0.367,0.678,106.031,183440,4,0
https://open.spotify.com/track/6u8hSdYZxbK5EczDPRIXXf,0.814,0.635,7,-6.609,0,0.0809,0.0935,0.0,0.0892,0.784,87.581,200774,4,0
https://open.spotify.com/track/7ptJYMKI7Y1iWdqEZtBMGE,0.612,0.934,9,-5.124,0,0.0663,0.049,0.0,0.103,0.293,130.006,204352,4,0
https://open.spotify.com/track/25U7raB3ZSszayTYClh4hF,0.663,0.168,0,-13.725,1,0.0448,0.928,5.68e-05,0.361,0.678,85.005,308027,4,0
https://open.spotify.com/track/5xI2WO75cIHhGX55MlaIgU,0.632,0.227,9,-9.459,1,0.0378,0.856,0.0,0.101,0.323,112.81,196267,4,0
https://open.spotify.com/track/6leiB1fEsTnVCuPiielde5,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8,183733,4,0
https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161,4,0
https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3,0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,199549,4,0
https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293,4,0
https://open.spotify.com/track/5nra2uQhiaYKKpemgiDNC3,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047,217802,4,0
https://open.spotify.com/track/65jw6GhwQW3Db55PxlPEpS,0.829,0.52,8,-10.34,1,0.294,0.0232,0.0,0.134,0.248,136.103,194118,4,0
https://open.spotify.com/track/0pdKRp2sUthTPe7RLWpPqQ,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,218883,4,0
https://open.spotify.com/track/6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,3,0
https://open.spotify.com/track/2aWVaW1p2kUc5yuKwBmRJi,0.899,0.691,0,-7.554,1,0.0497,0.18,0.000451,0.135,0.865,107.951,125302,4,0
https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,0
https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4,0
https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,199947,4,0
https://open.spotify.com/track/7LEMGMfmJDd1iLsGD9eV5l,0.465,0.468,7,-7.799,1,0.134,0.262,0.0,0.0639,0.373,83.366,142773,4,0
https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr,0.52,0.903,2,-5.497,1,0.042,0.00517,0.0,0.254,0.652,74.988,219801,4,0
https://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760,4,0
https://open.spotify.com/track/0PdM2a6oIjqepoEfcJo0RO,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,267307,4,0
https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza,0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,199549,4,0
https://open.spotify.com/track/0D2xguFRqCF0OUqXCkqrpU,0.407,0.317,10,-7.895,1,0.0429,0.845,2.66e-06,0.139,0.216,81.899,269493,4,0
https://open.spotify.com/track/0TXNKTzawI6VgLoA9UauRp,0.681,0.453,7,-6.09,1,0.0278,0.263,0.0,0.0543,0.348,125.772,216560,4,0
https://open.spotify.com/track/7ngTmzqa1PylqWUtMWfCgl,0.723,0.653,4,-6.003,0,0.0614,0.0821,2.27e-06,0.0824,0.361,124.023,225392,4,0
https://open.spotify.com/track/05t6POnTptz0XIhREEwrY9,0.626,0.673,6,-6.658,0,0.252,0.366,0.0,0.111,0.315,89.877,174333,4,0
https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe,0.719,0.607,8,-5.156,1,0.165,0.08,0.0,0.125,0.464,128.006,149900,4,0
https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4,0
https://open.spotify.com/track/5PAvFGse5jjDH9ke8Mae7D,0.426,0.829,9,-2.84,1,0.0569,0.107,0.0,0.317,0.814,180.241,193880,4,0
https://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4,0
https://open.spotify.com/track/2x7MyWybabEz6Y6wvHuwGE,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933,4,0
https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,212093,4,0
https://open.spotify.com/track/1ko2lVN0vKGUl9zrU0qSlT,0.803,0.488,1,-9.303,1,0.0803,0.576,0.0609,0.0763,0.624,95.771,237106,4,0
https://open.spotify.com/track/4alHo6RGd0D3OUbTPExTHN,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,225627,4,0
